latitude,longitude,property_type,accommodates,bathrooms,bedrooms,beds,price
42.3087358,-71.09977037,Condominium,5,1,2,2,114.00
42.31567995,-71.11520101,Apartment,2,1,1,1,75.00
42.31556512,-71.11482701,Apartment,2,1,1,1,185.00
42.295723,-71.11942118,Apartment,2,1,1,1,75.00
42.3119946,-71.1104509,Apartment,4,2.5,2,2,180.00
42.30687965,-71.11231784,Apartment,2,1,1,1,70.00
42.31592271,-71.09957963,Bed & Breakfast,2,1,1,2,150.00
42.30653907,-71.11789286,Apartment,4,1,2,2,120.00
42.30861526,-71.11488311,Apartment,2,2,1,1,92.00
42.29877632,-71.11159713,Apartment,2,1,1,1,84.00
42.2974048,-71.11391373,Apartment,4,1,2,2,200.00
42.31796621,-71.11153464,Apartment,2,1,1,1,115.00
42.32489118,-71.11344013,Apartment,1,1,1,1,49.00
42.31590401,-71.11404803,Townhouse,2,1,1,1,95.00
42.31274188,-71.1120145,House,6,1,4,4,275.00
42.30454928,-71.11553159,Apartment,9,1,4,4,230.00
42.31527369,-71.10846155,Apartment,4,1,1,4,130.00
42.31465541,-71.09929095,Apartment,5,1,2,3,192.00
42.32504873,-71.10629609,Apartment,5,1,3,4,175.00
42.29554924,-71.11354969,Apartment,2,1,1,1,70.00
42.32235541,-71.10672991,Townhouse,2,1.5,1,1,65.00
42.30571166,-71.1056671,Apartment,2,1,1,1,100.00
42.30248683,-71.11331373,Apartment,3,1,1,1,185.00
42.31867699,-71.10033307,House,10,2.5,5,5,250.00
42.31762622,-71.10865424,Apartment,2,1,1,1,110.00
42.31227026,-71.10086091,House,5,1.5,2,3,150.00
42.32527017,-71.10701089,Apartment,6,1,2,4,168.00
42.29558695,-71.11941564,Apartment,2,1,1,1,60.00
42.29812412,-71.11413549,Apartment,2,1,1,1,59.00
42.31753771,-71.10845722,House,2,1,1,1,60.00
42.30683414,-71.11331231,Apartment,4,1,2,4,145.00
42.30720226,-71.1195889,Apartment,2,1,1,1,80.00
42.31961969,-71.10482911,Apartment,3,1,1,2,114.00
42.31026209,-71.1125744,House,2,1,1,1,170.00
42.31856881,-71.11415408,Apartment,6,2,2,2,240.00
42.31012524,-71.1028772,Apartment,4,1,2,2,150.00
42.3095023,-71.11675448,Apartment,2,1,1,1,69.00
42.3037631,-71.11400263,Apartment,2,1,1,1,80.00
42.31343054,-71.10571837,Apartment,2,1,1,1,85.00
42.30894842,-71.11416181,Apartment,4,1,1,2,75.00
42.30639602,-71.10593529,Apartment,4,1,2,2,150.00
42.31551269,-71.10157723,House,2,2,1,1,70.00
42.30932886,-71.1176428,House,3,1,1,2,80.00
42.31097645,-71.10416186,Apartment,7,1.5,3,4,225.00
42.31686602,-71.10254447,Apartment,4,1,2,2,225.00
42.32473174,-71.10791788,House,4,2,2,2,178.00
42.31308412,-71.10511678,Apartment,4,1,2,2,175.00
42.30918196,-71.1104931,Apartment,3,1,0,2,109.00
42.29715508,-71.11190356,Condominium,10,2,5,6,383.00
42.3195109,-71.11460122,Condominium,2,1.5,1,1,90.00
42.32243105,-71.11326558,Apartment,6,1,2,3,99.00
42.30337107,-71.11500731,Apartment,2,1,1,1,50.00
42.32436434,-71.10262149,Apartment,4,1,2,2,300.00
42.30881608,-71.1139284,House,6,2,4,5,184.00
42.31846335,-71.10792705,Apartment,2,1,1,1,80.00
42.30983835,-71.107524,House,2,1,1,1,85.00
42.31190937,-71.10675529,Apartment,2,1,1,2,150.00
42.31552926,-71.102403,Apartment,2,1,1,1,100.00
42.32186357,-71.10374748,Apartment,2,1,1,1,100.00
42.29858047,-71.11026725,Townhouse,2,1.5,1,2,84.00
42.3162733,-71.10215681,Apartment,4,1,1,2,130.00
42.31614913,-71.10503627,Apartment,2,1,1,1,76.00
42.31218843,-71.10566184,Apartment,2,1,1,1,100.00
42.3134215,-71.1071186,House,2,2,1,1,70.00
42.31131397,-71.11617069,Condominium,2,1,1,1,125.00
42.30557708,-71.11367642,Apartment,2,1,1,1,70.00
42.31605229,-71.09932134,Bed & Breakfast,1,1.5,1,1,75.00
42.30637132,-71.11350717,House,3,1,2,1,170.00
42.31509939,-71.11107897,House,2,1,1,1,95.00
42.3064969,-71.1116203,Bed & Breakfast,2,1,1,2,70.00
42.31922662,-71.1088689,Apartment,6,1,3,3,299.00
42.30361487,-71.12921449,House,1,1.5,1,1,70.00
42.31179032,-71.12132703,Entire Floor,6,2,2,3,155.00
42.32133487,-71.1077732,Apartment,4,2,2,2,250.00
42.30073404,-71.11431097,Apartment,2,1,1,1,115.00
42.28965255,-71.11472079,House,3,1,1,2,70.00
42.28825811,-71.11306692,House,3,1,1,2,135.00
42.31214692,-71.10890828,Condominium,2,1,1,1,120.00
42.31303259,-71.11202441,Loft,4,1.5,1,1,130.00
